Company,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Short Description,Founded Year
"Toys""R"" Us","Hobby, Toy, and Game Stores",https://www.toysrus.com/,https://www.linkedin.com/company/toysrus1,https://www.facebook.com/ToysRUsME/,https://twitter.com/toysrus?lang=en,info not available,info not available,info not available,info not available,info not available,info not available,"toys, games, educational products, action figures, dolls, board games, learning games",info not available,"Toys”R”Us is the leading kids store for all toys, video games, dolls, action figures, learning games, building blocks and more. C'mon, Let's Play!","Toys""R"" Us is a well-known retail company specializing in toys, games, and related products.",info not available
Blockbuster,Unclassified Establishments,https://www.blockbuster.com/,https://www.linkedin.com/company/blockbuster,https://www.facebook.com/lastblockbusterofficial/,https://twitter.com/blockbuster?lang=en,Meridian Blvd,Englewood,CO,USA,80112,"211 NE Revere Bend, OR","Blockbuster Movies, DISH On Demand",303-723-1000,The magic of Blockbuster Movies lives on. Find remaining store information or Make it a Blockbuster Night with DISH On Demand.,info not available,info not available
Yahoo,Internet Publishing and Broadcasting and Web Search Portals,https://www.yahoo.com/,https://www.linkedin.com/company/yahoo,https://www.facebook.com/yahoo/,https://twitter.com/yahoo,701 First Ave,Sunnyvale,California,United States,94089,"701 First Ave, Sunnyvale, California, 94089, United States","Online news, web portal, internet services, digital media, online advertising",(800) 293-5568,"Latest news coverage, email, free stock quotes, live scores and video are just the beginning. Discover more every day at Yahoo!","Yahoo is a web services provider that offers a variety of services including news, finance, sports, entertainment, and email.",info not available
Nokia,Unclassified Establishments,https://www.nokia.com/,https://fi.linkedin.com/company/nokia,https://www.facebook.com/nokia/,https://x.com/nokia,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,Information not available,Information not available,info not available
BlackBerry,Software Publishers,https://www.blackberry.com/us/en.html,https://ca.linkedin.com/company/blackberry,https://www.facebook.com/BlackBerry/,https://twitter.com/blackberry?lang=en,info not available,info not available,info not available,info not available,info not available,info not available,"Cybersecurity, Secure Communications, Embedded Software, Internet of Things, AI-powered Solutions",info not available,"BlackBerry provides organizations and governments with the software and services they need to secure the Internet of Things. Learn how BlackBerry Cybersecurity powered by Cylance AI can protect your people, network, and data.","BlackBerry is a technology company specializing in cybersecurity, secure communications, and embedded software solutions.",info not available
Monsanto Company,Agriculture,http://www.monsantotechnology.com/,https://www.linkedin.com/company/monsanto,https://www.facebook.com/millionsagainst/,https://twitter.com/monsantonews?lang=en,info not available,info not available,info not available,Germany,info not available,"Bayer AG, 51368 Leverkusen, Germany","Agricultural products, Seed production, Crop production, Agricultural chemicals",+49 214 30-1,info not available,"Monsanto Company is involved in providing agricultural products, including seeds, traits, agricultural chemicals, plant varieties, and agricultural productivity solutions for farmers globally.",info not available
Warner Bros. Discovery,Motion Picture and Video Production,https://www.wbd.com/,https://www.linkedin.com/company/timewarner,https://www.facebook.com/TheTimeWarnerCompany/,https://twitter.com/warnermedia,info not available,info not available,info not available,info not available,info not available,info not available,"Film Production, Television Production, Media Production, Entertainment Industry",info not available,Information not available,Warner Bros. Discovery is a leading global media and entertainment company specializing in creating and distributing a diverse portfolio of content across various platforms.,info not available
The Kraft Heinz Company,Food and Beverage,https://www.kraftheinzcompany.com/,https://www.linkedin.com/company/kraft-foods,https://www.facebook.com/Kraft/,https://twitter.com/kraftheinzco,info not available,info not available,info not available,info not available,info not available,info not available,"Food processing, Food production, Packaged foods",info not available,"The Kraft Heinz Company provides high quality, great taste and nutrition for all eating occasions whether at home, in restaurants or on the go.","The Kraft Heinz Company is the third-largest food and beverage company in North America and fifth-largest in the world, offering a wide range of high-quality food products.",info not available
Standard Oil Company USA,Energy,https://standardoilusa.com/,https://www.linkedin.com/company/standard-oil-company,https://www.facebook.com/StandardOilCT/,info not available,5430 LBJ Freeway,Dallas,Texas,USA,75240,"5430 LBJ Freeway, Dallas, Texas 75240, USA","Oil extraction, petroleum production, crude oil extraction, renewable energy, sustainability",620-314-3427,Information not available,"Standard Oil Company USA is involved in the energy sector, focusing on oil and gas projects, renewable energy, and sustainability.",info not available
DuPont,Chemical Manufacturing,https://www.dupont.com/,https://www.linkedin.com/company/dupont,https://www.facebook.com/dupontco/,https://twitter.com/dupont_news?lang=en,info not available,info not available,info not available,info not available,info not available,info not available,"Chemical manufacturing, Specialty chemicals, Advanced materials",info not available,"We make essential innovations the world needs now. From protective equipment, to delivering clean water and enabling smarter, faster electronics; we use science and innovation to make so many of the things you use every day possible.","DuPont is a science and technology company that specializes in various sectors, including materials science, biotechnology, and electronics.",info not available
