Company,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Short Description,Founded Year
United States Naval Academy,higher education,http://www.usna.edu,http://www.linkedin.com/school/united-states-naval-academy,https://facebook.com/USNavalAcademy,https://twitter.com/NavalAcademy,52 King George St,Annapolis,Maryland,United States,21402-5002,"52 King George St, Annapolis, Maryland, United States, 21402-5002","engineering, education, navy, marine corps, leadership, training, military, cyber, athletics, stem",'+1 410-293-1000,,"Founded in 1845, the U.S. Naval Academy today is a prestigious four-year service academy that prepares midshipmen morally, mentally, and physically to be professional officers in the naval service. More than 4,400 men and women representing every state in the U.S. and several foreign countries make up the student body, known as the Brigade of Midshipmen. U.S. News and World Reports has recognized the Naval Academy as a top five undergraduate engineering school and a top 20 best liberal arts college. Midshipmen learn from military and civilian instructors and participate in intercollegiate varsity sports and extracurricular activities. They also study subjects like leadership, ethics, small arms, drill, seamanship and navigation, tactics, naval engineering, weapons, and military law. Upon graduation, midshipmen earn a Bachelor of Science degree in a choice of 25 different subject majors and go on to serve at least five years of exciting and rewarding service as commissioned officers in the U.S. Navy or U.S. Marine Corps.

The Academy is set on 338 acres between the south bank of the Severn River and historic downtown Annapolis, the state capital of Maryland. Annapolis is 33 miles east of Washington D.C. and 30 miles south of Baltimore.

Midshipmen can choose from a total of 33 intercollegiate varsity sports: 18 for men, 12 for women, and three co-ed. 

Extracurricular activities are offered in areas ranging from engineering societies, military professional clubs and associations, to athletics, music, arts, and other special interests.

The Naval Academy campus is called the Yard, and features tree-lined brick walks, French Renaissance and contemporary architecture, and scenic vistas of the Chesapeake Bay. The Bancroft Hall dormitory complex, the Naval Academy Chapel, and other century-old buildings make the Academy unique.

Go to usajobs.gov for open positions of employment.",1845.0
United States Naval Academy,Higher Education,https://www.usna.edu/homepage.php,https://www.linkedin.com/school/united-states-naval-academy/,https://www.facebook.com/USNavalAcademy/,https://twitter.com/navalacademy?lang=en,121 Blake Road,Annapolis,MD,United States,21402,"U.S. Naval Academy, 121 Blake Road, Annapolis, MD 21402-0000","Military Academy, Service Academy, Higher Education",410-293-1000,United States Naval Academy page for Leaders to Serve the Nation at USNA.edu. Updated Wed Aug 21 20:30:24 EDT 2024.,The United States Naval Academy (USNA) is a federal service academy dedicated to training and educating future leaders of the U.S. Navy and Marine Corps.,1997.0
United States Naval Academy,Education,https://www.usna.edu/homepage.php,https://www.linkedin.com/school/united-states-naval-academy/,https://www.facebook.com/USNavalAcademy/,https://twitter.com/navalacademy?lang=en,121 Blake Road,Annapolis,MD,United States,21402,"U.S. Naval Academy, 121 Blake Road, Annapolis, MD 21402-0000","Military Academy, Service Academy, Federal Academy",410-293-1000,United States Naval Academy page for Leaders to Serve the Nation at USNA.edu. Updated Wed Aug 21 20:30:24 EDT 2024.,"The United States Naval Academy (USNA) is a federal service academy located in Annapolis, Maryland, dedicated to training and educating future leaders of the U.S. Navy and Marine Corps.",1997.0
United States Naval Academy,Higher Education,https://www.usna.edu/homepage.php,https://www.linkedin.com/school/united-states-naval-academy/,https://www.facebook.com/USNavalAcademy/,https://twitter.com/navalacademy?lang=en,121 Blake Road,Annapolis,MD,United States,21402,"U.S. Naval Academy, 121 Blake Road, Annapolis, MD 21402-0000","Military Academy, Service Academy, Federal Academy, Higher Education Institution",410-293-1000,United States Naval Academy page for Leaders to Serve the Nation at USNA.edu. Updated Wed Aug 21 20:30:24 EDT 2024.,The United States Naval Academy (USNA) is a federal service academy dedicated to training and educating future leaders of the U.S. Navy and Marine Corps.,1997.0
United States Naval Academy,Higher Education,https://www.usna.edu/homepage.php,https://www.linkedin.com/school/united-states-naval-academy/,https://www.facebook.com/USNavalAcademy/,https://twitter.com/navalacademy?lang=en,121 Blake Road,Annapolis,MD,USA,21402,"U.S. Naval Academy, 121 Blake Road, Annapolis, MD 21402-0000","Military Academy, Federal Service Academy, Leadership Development, Engineering Programs",410-293-1000,United States Naval Academy page for Leaders to Serve the Nation at USNA.edu. Updated Thu Aug 22 04:30:24 EDT 2024.,The United States Naval Academy (USNA) is a federal service academy dedicated to training and educating future leaders of the U.S. Navy and Marine Corps.,1997.0
United States Naval Academy,Higher Education,https://www.usna.edu/homepage.php,https://www.linkedin.com/school/united-states-naval-academy/,https://www.facebook.com/USNavalAcademy/,https://twitter.com/navalacademy?lang=en,121 Blake Road,Annapolis,MD,USA,21402,"U.S. Naval Academy, 121 Blake Road, Annapolis, MD 21402-0000","Military Academy, Service Academy, University, Leadership Development, Academic Excellence",410-293-1000,United States Naval Academy page for Leaders to Serve the Nation at USNA.edu. Updated Thu Aug 22 04:30:24 EDT 2024.,The United States Naval Academy (USNA) is a federal service academy dedicated to the education and training of future leaders of the U.S. Navy and Marine Corps.,1997.0
United States Golf Association (USGA),sports,http://www.usga.org,http://www.linkedin.com/company/united-states-golf-association,https://www.facebook.com/usopen,https://twitter.com/usopengolf,77 Liberty Corner Road,Far Hills,New Jersey,United States,7931,"77 Liberty Corner Road, Far Hills, New Jersey, United States, 07931","golf, golf courses, rules, championships, us open, history, equipment",'+1 908-234-2300,"The official home of the 2024 U.S. Amateur Championship at Hazeltine National Golf Club (Chaska, Minn.) and Chaska Town Course (Chaska, Minn.) from August 12-18. Watch the best amateur golfers in the world vie for the championship. Get tickets, view the leader board, highlights, stories, and more!","The USGA is a nonprofit organization that celebrates, serves and advances the game of golf.  Founded in 1894, we conduct many of golf's premier professional and amateur championships, including the U.S. Open and U.S. Women's Open.  With The R&A, we govern the sport via a global set of playing, equipment, handicapping and amateur status rules.  The USGA campus in Liberty Corner, New Jersey, is home to the Association's Research and Test Center, where science and innovation are fueling a healthy and sustainable game for the future.  The campus is also home to the USGA Golf Museum, where we honor the game by curating the world's most comprehensive archive of golf artifacts.  To learn more, visit usga.org.",1894.0
United States Golf Association,All Other Amusement and Recreation Industries,https://www.usga.org/,https://www.linkedin.com/company/united-states-golf-association,https://www.facebook.com/USGA/,https://twitter.com/usga,77 Liberty Corner Rd,Liberty Corner,NJ,US,7938,"77 Liberty Corner Rd, Liberty Corner, NJ 07938","golf association, sports governing body, recreational sports organization",908-234-2300,"The United States Golf Association oversees the U.S. Open, U.S. Women’s Open and other championships, the rules of golf, handicapping, sustainable course management, and more.","The United States Golf Association (USGA) is the governing body for golf in the United States, overseeing the rules of the game, conducting national championships, and promoting the sport of golf.",1995.0
United States Golf Association,All Other Amusement and Recreation Industries,https://www.usga.org/,https://www.linkedin.com/company/united-states-golf-association,https://www.facebook.com/USGA/,https://twitter.com/usga,77 Liberty Corner Rd,Liberty Corner,NJ,US,7938,"77 Liberty Corner Rd, Liberty Corner, NJ 07938","golf association, sports governing body, recreational sports organization",908-234-2300,"The United States Golf Association oversees the U.S. Open, U.S. Women’s Open and other championships, the rules of golf, handicapping, sustainable course management, and more.","The United States Golf Association (USGA) is the governing body for golf in the United States, responsible for overseeing the rules of the game, conducting national championships, and promoting the sport of golf.",1995.0
United States Golf Association,All Other Amusement and Recreation Industries,https://www.usga.org/,https://www.linkedin.com/company/united-states-golf-association,https://www.facebook.com/USGA/,https://twitter.com/usga,77 Liberty Corner Rd,Liberty Corner,NJ,US,7938,"77 Liberty Corner Rd, Liberty Corner, NJ 07938","golf association, sports governing body, recreational organization",908-234-2300,"The United States Golf Association oversees the U.S. Open, U.S. Women’s Open and other championships, the rules of golf, handicapping, sustainable course management, and more.","The United States Golf Association (USGA) is the governing body for golf in the United States, responsible for overseeing the rules of the game, conducting national championships, and promoting the sport of golf.",1995.0
United States Golf Association,All Other Amusement and Recreation Industries,https://www.usga.org/,https://www.linkedin.com/company/united-states-golf-association,https://www.facebook.com/USGA/,https://twitter.com/usga,77 Liberty Corner Rd,Liberty Corner,NJ,US,7938,"77 Liberty Corner Rd, Liberty Corner, NJ 07938","golf association, sports governing body, recreational organization",908-234-2300,"The United States Golf Association oversees the U.S. Open, U.S. Women’s Open and other championships, the rules of golf, handicapping, sustainable course management, and more.","The United States Golf Association (USGA) is the governing body for golf in the United States, responsible for overseeing the rules of the game, conducting national championships, and promoting the sport of golf.",1995.0
United States Golf Association,All Other Amusement and Recreation Industries,https://www.usga.org/,https://www.linkedin.com/company/united-states-golf-association,https://www.facebook.com/USGA/,https://twitter.com/usga,77 Liberty Corner Rd,Liberty Corner,NJ,US,7938,"77 Liberty Corner Rd, Liberty Corner, NJ 07938","sports governing body, recreational organization, golf association, sports promotion organization",908-234-2300,"The United States Golf Association oversees the U.S. Open, U.S. Women’s Open and other championships, the rules of golf, handicapping, sustainable course management, and more.","The United States Golf Association (USGA) is the governing body for golf in the United States, overseeing rules, championships, and promoting the sport.",1995.0
Carlton & United Breweries,mechanical or industrial engineering,http://www.cub.com.au,http://www.linkedin.com/company/carlton-united-breweries,https://facebook.com/pages/Carlton%20&%20United%20Breweries/112361475445379/,https://twitter.com/cub_world,58 Queens Bridge St,Melbourne,Victoria,Australia,3006,"58 Queens Bridge St, Melbourne, Victoria, Australia, 3006","beer, brewing, marketing, distribution, fmcg, consumer goods, drinks, cider, rtds",'+61 3 6212 7800,"Carlton & United Breweries is the most iconic beer company in Australia, with origins dating back to 1824",CUB is an Australia-based brewing company that manufactures and supplies beers and wines for the commercial market.,1832.0
Carlton & United Breweries,Breweries,https://cub.com.au/,https://au.linkedin.com/company/carlton-united-breweries,https://m.facebook.com/profile.php?id=254012905079630,https://twitter.com/carltondraught,77 Southbank Boulevard,Southbank,Victoria,Australia,3006,"77 Southbank Boulevard, Southbank, Victoria, 3006, Australia","beer, brewing, quality, sustainability, innovation",+6 139 420 6800,"Carlton & United Breweries is the most iconic beer company in Australia, with origins dating back to 1824.","Carlton & United Breweries is a historic and influential player in the Australian brewing industry, known for its commitment to quality and innovation.",1832.0
Carlton & United Breweries,Breweries,https://cub.com.au/,https://au.linkedin.com/company/carlton-united-breweries,https://m.facebook.com/profile.php?id=254012905079630,https://twitter.com/carltondraught,77 Southbank Boulevard,Southbank,Victoria,Australia,3006,"77 Southbank Boulevard, Southbank, Victoria, 3006, Australia","Beer manufacturers, Beer producers, Brewing companies",+6 139 420 6800,"Carlton & United Breweries is the most iconic beer company in Australia, with origins dating back to 1824.","Carlton & United Breweries is a historic and influential player in the Australian brewing industry, known for its commitment to quality and innovation.",1832.0
Carlton & United Breweries,Breweries,https://cub.com.au/,https://au.linkedin.com/company/carlton-united-breweries,https://m.facebook.com/profile.php?id=254012905079630,https://twitter.com/carltondraught,77 Southbank Boulevard,Southbank,Victoria,Australia,3006,"77 Southbank Boulevard, Southbank, Victoria, 3006, Australia","Beer production, Beer manufacturing, Brewing companies",+6 139 420 6800,"Carlton & United Breweries is the most iconic beer company in Australia, with origins dating back to 1824.","Carlton & United Breweries is a historic and influential player in the Australian brewing industry, known for its commitment to quality and innovation.",1832.0
Carlton & United Breweries,Breweries,https://cub.com.au/,https://au.linkedin.com/company/carlton-united-breweries,https://m.facebook.com/profile.php?id=254012905079630,https://twitter.com/carltondraught,77 Southbank Boulevard,Southbank,Victoria,Australia,3006,"77 Southbank Boulevard, Southbank, Victoria, 3006, Australia","Beer production, Brewing companies, Craft breweries, Malt beverage manufacturers",+6 139 420 6800,"Carlton & United Breweries is the most iconic beer company in Australia, with origins dating back to 1824.","Carlton & United Breweries is a historic and influential player in the Australian brewing industry, known for its commitment to quality and innovation.",1832.0
Carlton & United Breweries,Breweries,https://cub.com.au/,https://au.linkedin.com/company/carlton-united-breweries,https://www.facebook.com/story.php/?story_fbid=963596109107506&id=100063713762913,https://twitter.com/carltondraught,77 Southbank Boulevard,Southbank,Victoria,Australia,3006,"77 Southbank Boulevard, Southbank, Victoria, 3006, Australia","Beer production, Beer manufacturing, Brewing companies",+6 139 420 6800,"Carlton & United Breweries is the most iconic beer company in Australia, with origins dating back to 1824.","Carlton & United Breweries is a historic and influential player in the Australian brewing industry, known for its quality products and commitment to innovation.",1832.0
United Tractors,machinery,,http://www.linkedin.com/company/united-tractors-tbk,https://www.facebook.com/ptunitedtractorstbk/,,,,,,,,,(021) 2457 9999,,"United Tractors (UT/the Company) is the leading and the largest distributor of heavy equipments in the Indonesia, providing products from world-renowned brands such as Komatsu, UD Trucks, Scania, Bomag, Tadano, and Komatsu Forest.

We are a company with a long history. Established on October 13th, 1972, the Company reached an important milestone on September 19th, 1989, by listing its shares in Jakarta and Surabaya Stock Exchange as PT United Tractors Tbk (UNTR), with PT Astra International Tbk as the majority shareholder. This initial public offering marked the United Tractors' commitment of becoming the world-class solution-driven company in heavy equipment, mining, and energy for the benefit of stakeholders.

Today, our vast distribution network includes 19 branch offices, 22 site support offices and 11 representative offices in 22 provinces across the country. Not content with being the largest distributor of heavy equipments in the country, the Company also plays an active role in the field of mining contracting and has recently ventured into coal mining business. UT conducted its businesses through three major business units known asConstruction Machinery, Mining Contracting and Mining.",1972.0
United Tractors,"Heavy Equipment Distribution, Mining Contracting, Construction, and Energy",https://www.unitedtractors.com/en/,https://id.linkedin.com/company/unitedtractors,https://www.facebook.com/ptunitedtractorstbk/,info not available,Jl. Raya Bekasi Km 22,Jakarta,Jakarta,Indonesia,13910,"PT United Tractors Tbk. Jl. Raya Bekasi Km 22, Cakung, Jakarta Timur 13910","Heavy Equipment Dealer, Construction Equipment Supplier, Machinery Distributor",+62 21 2457 9999,Information not available,"United Tractors is involved in heavy equipment distribution, mining contracting, construction, and energy sectors in Indonesia.",1996.0
United Tractors,"Heavy Equipment Distribution, Mining Contracting, Construction, and Energy",https://www.unitedtractors.com/en/,https://uk.linkedin.com/company/united-tractors-tbk?trk=ppro_cprof,https://www.facebook.com/ptunitedtractorstbk/,info not available,Jl. Raya Bekasi Km 22,Jakarta,Jakarta,Indonesia,13910,"PT United Tractors Tbk. Jl. Raya Bekasi Km 22, Cakung, Jakarta Timur 13910","Heavy Equipment Distribution, Construction Machinery, Mining Contracting, Renewable Energy",+62 21 2457 9999,Information not available,"United Tractors is engaged in heavy equipment distribution, mining contracting, construction, and energy sectors in Indonesia, with a focus on sustainability initiatives.",1996.0
United Tractors,"Heavy Equipment Distribution, Mining Contracting, Construction, and Energy",https://www.unitedtractors.com/en/,https://id.linkedin.com/company/unitedtractors,https://www.facebook.com/ptunitedtractorstbk/,info not available,Jl. Raya Bekasi Km 22,Jakarta,Jakarta,Indonesia,13910,"PT United Tractors Tbk. Jl. Raya Bekasi Km 22, Cakung, Jakarta Timur 13910","Heavy Equipment Distribution, Construction Machinery, Mining Contracting, Renewable Energy",+62 21 2457 9999,Information not available,"United Tractors is a leading player in the heavy equipment distribution and mining contracting sectors in Indonesia, with a strong commitment to sustainability and community engagement.",1996.0
United Tractors,"Heavy Equipment Distribution, Mining Contracting, Construction, and Energy",https://www.unitedtractors.com/en/,https://id.linkedin.com/company/unitedtractors,https://www.facebook.com/ptunitedtractorstbk/,info not available,Jl. Raya Bekasi Km 22,Cakung,Jakarta Timur,Indonesia,13910,"PT United Tractors Tbk. Jl. Raya Bekasi Km 22, Cakung, Jakarta Timur 13910","Heavy Equipment Distribution, Construction Equipment Supplier, Mining Equipment Supplier",+62 21 2457 9999,info not available,"United Tractors operates in the heavy equipment distribution sector, involved in construction machinery, mining contracting, and renewable energy initiatives.",1996.0
United Tractors,"Heavy Equipment Distribution, Mining Contracting, Construction, and Energy",https://www.unitedtractors.com/en/,https://uk.linkedin.com/company/united-tractors-tbk?trk=ppro_cprof,https://www.facebook.com/ptunitedtractorstbk/,info not available,Jl. Raya Bekasi Km 22,Cakung,Jakarta Timur,Indonesia,13910,"PT United Tractors Tbk. Jl. Raya Bekasi Km 22, Cakung, Jakarta Timur 13910","Heavy Equipment Distribution, Construction Equipment Supplier, Mining Equipment Supplier",+62 21 2457 9999,Information not available,"United Tractors is engaged in heavy equipment distribution, mining contracting, construction, and energy sectors in Indonesia, with a focus on sustainability initiatives.",1996.0
United Family Healthcare,hospital & health care,http://www.ufh.com.cn,http://www.linkedin.com/company/united-family-healthcare,https://facebook.com/UnitedFamHealthcare/,https://twitter.com/UnitedFamHealth,Jiuxianqiao Road,,Beijing Shi,China,,"Jiuxianqiao Road, Beijing Shi, China","healthcare, hospital, emergency medicine, pediatrics, internal medicine, family medicine, obstetrics & gynecology, dermatology, surgery, traditional chinese medicine, plastic, reconstructive, cosmetic services, dental, reproductive medicine, neurosurgery, psychological health, clinics",'+86 400 891 9191,,"United Family Healthcare (UFH) is an international hospital and clinic network that provides private, premium healthcare. UFH has led the way in private international healthcare in China. After almost two decades, UFH has established itself with hospitals and clinics in Beijing, Shanghai, Guangzhou, Tianjin, Qingdao, Bo'ao and Hangzhou as the provider of choice for those seeking premium, personalized healthcare. There are over 400 full-time doctors from 25 different countries and regions working in UFH. Additionally there are over 1000 part-time experts and over 1000 nurses on the team.
With primary care as the core philosophy of our general practice, UFH has built a continuous comprehensive system that starts from preventive care and covers diagnosis, treatment, and rehabilitation. This healthcare system, combined with the employment of a strict medical standard, the adoption of proven medical management techniques, and a willingness to invest in infrastructure and technology, has allowed United Family Healthcare to achieve remarkable results for its patients and set a healthcare delivery standard for others to emulate.
UFH is constantly striving to meet and exceed worldwide service quality and patient safety standards. This level of quality is evidenced by our sixth Joint Commission International (JCI)  reaccreditation.

和睦家医疗秉承现代医院管理理念，致力于为来自不同国家和地区的患者提供个性化的，高质量的，以病人为中心的医疗服务。经过多年的发展，和睦家医疗在北京、上海、广州、天津、青岛、杭州、博鳌等地设有医院和诊所，为民众提供个性化的医疗服务。全职医生共426人，来自25个国家或地区，兼职专家团队超过1000人，护理团队1000余人。
和睦家医疗建立了以全科医疗为中心的医疗服务体系，提供覆盖全生命周期的医疗服务，包括预防保健、诊断、治疗以及康复。这样一个完备的系统，结合严谨的循证医疗实践，先进的管理经验，以及技术和设备上的不断投入，和睦家为病人带来了卓越的的效果，为行业同仁设定了医疗服务的高标准。
和睦家医疗坚持不懈地追求符合甚至超越高标准的服务和质量, 连续六次高分通过了JCI认证。",1997.0
United Family Healthcare,Healthcare,https://ufh.com.cn/en/,https://www.linkedin.com/company/united-family-healthcare,https://www.facebook.com/UnitedFamilyMedicine/,https://twitter.com/unitedfamilymed,info not available,info not available,info not available,China,info not available,info not available,"Healthcare provider, medical services, hospitals, clinics, outpatient services",4008-919191,info not available,"United Family Healthcare is a prominent healthcare provider in China, known for its extensive network of facilities and a wide range of medical services.",2003.0
United Family Healthcare,Healthcare,https://ufh.com.cn/en/,https://www.linkedin.com/company/united-family-healthcare,https://www.facebook.com/UnitedFamilyMedicine/,https://twitter.com/unitedfamilymed,info not available,info not available,info not available,China,info not available,info not available,"healthcare provider, medical services, hospitals, clinics, outpatient care",4008-919191,info not available,"United Family Healthcare is a prominent healthcare provider in China, known for its extensive network of facilities and a wide range of medical services.",2003.0
United Family Healthcare,Healthcare,https://ufh.com.cn/en/,https://www.linkedin.com/company/united-family-healthcare,https://www.facebook.com/UnitedFamilyMedicine/,https://twitter.com/unitedfamilymed,info not available,info not available,info not available,China,info not available,info not available,"Healthcare provider, Medical services, Hospitals, Clinics, Family healthcare",tony.chen@ufh.com.cn,info not available,"United Family Healthcare is a prominent healthcare provider in China, known for its comprehensive medical services, commitment to quality care, and innovative healthcare solutions.",2003.0
United Family Healthcare,Healthcare,https://ufh.com.cn/en/,https://www.linkedin.com/company/united-family-healthcare,https://www.facebook.com/UnitedFamilyMedicine/,https://twitter.com/unitedfamilymed,info not available,info not available,info not available,China,info not available,info not available,"Healthcare provider, Medical services, Hospitals, Clinics, Family healthcare",info not available,info not available,"United Family Healthcare is a prominent healthcare provider in China, known for its extensive network of hospitals and clinics, diverse medical services, and commitment to quality care.",2003.0
United Family Healthcare,Healthcare,https://ufh.com.cn/en/,https://www.linkedin.com/company/united-family-healthcare,https://www.facebook.com/UnitedFamilyMedicine/,https://twitter.com/unitedfamilymed,info not available,info not available,info not available,China,info not available,info not available,"Healthcare provider, medical services, hospitals, clinics, outpatient services",info not available,info not available,"United Family Healthcare is a prominent healthcare provider in China, known for its extensive network of facilities and a wide range of medical services.",2003.0
United States Institute of Peace,international affairs,http://www.usip.org,http://www.linkedin.com/company/united-states-institute-of-peace,https://facebook.com/usinstituteofpeace,https://twitter.com/USIP,2301 Constitution Avenue Northwest,Washington,District of Columbia,United States,20037,"2301 Constitution Avenue Northwest, Washington, District of Columbia, United States, 20037","peacebuilding, foreign policy, national security, conflict management, conflict prevention, conflict resolution, grantmaking, education, training",'+1 202-457-1700,,"The United States Institute of Peace is a national, nonpartisan, independent institute, founded by Congress and dedicated to the proposition that a world without violent conflict is possible, practical and essential for U.S. and global security. In conflict zones abroad, the Institute works with local partners to prevent, mitigate, and resolve violent conflict. To reduce future crises and the need for costly interventions, USIP works with governments and civil societies to build local capacities to manage conflict peacefully. The Institute pursues its mission by linking research, policy, training, analysis and direct action to support those who are working to build a more peaceful, inclusive world.

Stay up to date with employment opportunities at USIP by visiting: https://www.usip.org/about/careers",1984.0
United States Institute of Peace,Professional Organizations,https://www.usip.org/,https://www.linkedin.com/company/united-states-institute-of-peace,https://www.facebook.com/usinstituteofpeace/,https://twitter.com/usip?lang=en,2301 Constitution Avenue NW,Washington,DC,US,20037,"2301 Constitution Avenue NW, Washington, DC 20037","Peacebuilding organizations, Conflict resolution organizations, Nonprofit organizations focused on peace, Educational institutions for peace studies",+1.202.457.1700,USIP was established by Congress in 1984 as an independent institution devoted to the nonviolent prevention and mitigation of deadly conflict abroad.,"The United States Institute of Peace (USIP) is a nonpartisan, independent institution established by the U.S. Congress in 1984, focused on promoting peace and preventing violent conflict globally.",1984.0
United States Institute of Peace,Professional Organizations,https://www.usip.org/,https://www.linkedin.com/company/united-states-institute-of-peace,https://www.facebook.com/usinstituteofpeace/,https://twitter.com/usip?lang=en,2301 Constitution Avenue NW,Washington,DC,US,20037,"2301 Constitution Avenue NW, Washington, DC 20037","Peacebuilding organizations, Conflict resolution organizations, Nonprofit organizations, Educational institutions",+1.202.457.1700,USIP was established by Congress in 1984 as an independent institution devoted to the nonviolent prevention and mitigation of deadly conflict abroad.,"The United States Institute of Peace (USIP) is a nonpartisan, independent institution established by the U.S. Congress in 1984 to promote peace and prevent violent conflict globally.",1984.0
United States Institute of Peace,Professional Organizations,https://www.usip.org/,https://www.linkedin.com/company/united-states-institute-of-peace,https://www.facebook.com/usinstituteofpeace/,https://twitter.com/usip?lang=en,2301 Constitution Avenue NW,Washington,DC,US,20037,"2301 Constitution Avenue NW, Washington, DC 20037","Peace Institute, Conflict Resolution Organization, Nonprofit Peacebuilding Organization",+1.202.457.1700,USIP was established by Congress in 1984 as an independent institution devoted to the nonviolent prevention and mitigation of deadly conflict abroad.,"The United States Institute of Peace (USIP) is a nonpartisan, independent institution established by the U.S. Congress in 1984 to promote peace and prevent violent conflict globally.",1984.0
United States Institute of Peace (USIP),Professional Organizations,https://www.usip.org/,https://www.linkedin.com/company/united-states-institute-of-peace,https://www.facebook.com/usinstituteofpeace/,https://twitter.com/usip?lang=en,2301 Constitution Avenue NW,Washington,DC,US,20037,"2301 Constitution Avenue NW, Washington, DC 20037","Peace Institute, Conflict Resolution Organization, Nonprofit Peacebuilding Organization",+1.202.457.1700,USIP was established by Congress in 1984 as an independent institution devoted to the nonviolent prevention and mitigation of deadly conflict abroad.,"The United States Institute of Peace (USIP) is a nonpartisan, independent institution established by the U.S. Congress in 1984 to promote peace and prevent violent conflict globally.",1984.0
