Company,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Short Description,Founded Year
United States Golf Association (USGA),sports,http://www.usga.org,http://www.linkedin.com/company/united-states-golf-association,https://www.facebook.com/usopen,https://twitter.com/usopengolf,77 Liberty Corner Road,Far Hills,New Jersey,United States,7931,"77 Liberty Corner Road, Far Hills, New Jersey, United States, 07931","golf, golf courses, rules, championships, us open, history, equipment",'+1 908-234-2300,"The official home of the 2024 U.S. Amateur Championship at Hazeltine National Golf Club (Chaska, Minn.) and Chaska Town Course (Chaska, Minn.) from August 12-18. Watch the best amateur golfers in the world vie for the championship. Get tickets, view the leader board, highlights, stories, and more!","The USGA is a nonprofit organization that celebrates, serves and advances the game of golf.  Founded in 1894, we conduct many of golf's premier professional and amateur championships, including the U.S. Open and U.S. Women's Open.  With The R&A, we govern the sport via a global set of playing, equipment, handicapping and amateur status rules.  The USGA campus in Liberty Corner, New Jersey, is home to the Association's Research and Test Center, where science and innovation are fueling a healthy and sustainable game for the future.  The campus is also home to the USGA Golf Museum, where we honor the game by curating the world's most comprehensive archive of golf artifacts.  To learn more, visit usga.org.",1894
Carlton & United Breweries,mechanical or industrial engineering,http://www.cub.com.au,http://www.linkedin.com/company/carlton-united-breweries,https://facebook.com/pages/Carlton%20&%20United%20Breweries/112361475445379/,https://twitter.com/cub_world,58 Queens Bridge St,Melbourne,Victoria,Australia,3006,"58 Queens Bridge St, Melbourne, Victoria, Australia, 3006","beer, brewing, marketing, distribution, fmcg, consumer goods, drinks, cider, rtds",'+61 3 6212 7800,"Carlton & United Breweries is the most iconic beer company in Australia, with origins dating back to 1824",CUB is an Australia-based brewing company that manufactures and supplies beers and wines for the commercial market.,1832
United States Naval Academy,higher education,http://www.usna.edu,http://www.linkedin.com/school/united-states-naval-academy,https://facebook.com/USNavalAcademy,https://twitter.com/NavalAcademy,52 King George St,Annapolis,Maryland,United States,21402-5002,"52 King George St, Annapolis, Maryland, United States, 21402-5002","engineering, education, navy, marine corps, leadership, training, military, cyber, athletics, stem",'+1 410-293-1000,,"Founded in 1845, the U.S. Naval Academy today is a prestigious four-year service academy that prepares midshipmen morally, mentally, and physically to be professional officers in the naval service. More than 4,400 men and women representing every state in the U.S. and several foreign countries make up the student body, known as the Brigade of Midshipmen. U.S. News and World Reports has recognized the Naval Academy as a top five undergraduate engineering school and a top 20 best liberal arts college. Midshipmen learn from military and civilian instructors and participate in intercollegiate varsity sports and extracurricular activities. They also study subjects like leadership, ethics, small arms, drill, seamanship and navigation, tactics, naval engineering, weapons, and military law. Upon graduation, midshipmen earn a Bachelor of Science degree in a choice of 25 different subject majors and go on to serve at least five years of exciting and rewarding service as commissioned officers in the U.S. Navy or U.S. Marine Corps.

The Academy is set on 338 acres between the south bank of the Severn River and historic downtown Annapolis, the state capital of Maryland. Annapolis is 33 miles east of Washington D.C. and 30 miles south of Baltimore.

Midshipmen can choose from a total of 33 intercollegiate varsity sports: 18 for men, 12 for women, and three co-ed. 

Extracurricular activities are offered in areas ranging from engineering societies, military professional clubs and associations, to athletics, music, arts, and other special interests.

The Naval Academy campus is called the Yard, and features tree-lined brick walks, French Renaissance and contemporary architecture, and scenic vistas of the Chesapeake Bay. The Bancroft Hall dormitory complex, the Naval Academy Chapel, and other century-old buildings make the Academy unique.

Go to usajobs.gov for open positions of employment.",1845
United Tractors,machinery,,http://www.linkedin.com/company/united-tractors-tbk,https://www.facebook.com/ptunitedtractorstbk/,,,,,,,,,(021) 2457 9999,,"United Tractors (UT/the Company) is the leading and the largest distributor of heavy equipments in the Indonesia, providing products from world-renowned brands such as Komatsu, UD Trucks, Scania, Bomag, Tadano, and Komatsu Forest.

We are a company with a long history. Established on October 13th, 1972, the Company reached an important milestone on September 19th, 1989, by listing its shares in Jakarta and Surabaya Stock Exchange as PT United Tractors Tbk (UNTR), with PT Astra International Tbk as the majority shareholder. This initial public offering marked the United Tractors' commitment of becoming the world-class solution-driven company in heavy equipment, mining, and energy for the benefit of stakeholders.

Today, our vast distribution network includes 19 branch offices, 22 site support offices and 11 representative offices in 22 provinces across the country. Not content with being the largest distributor of heavy equipments in the country, the Company also plays an active role in the field of mining contracting and has recently ventured into coal mining business. UT conducted its businesses through three major business units known asConstruction Machinery, Mining Contracting and Mining.",1972
United Family Healthcare,hospital & health care,http://www.ufh.com.cn,http://www.linkedin.com/company/united-family-healthcare,https://facebook.com/UnitedFamHealthcare/,https://twitter.com/UnitedFamHealth,Jiuxianqiao Road,,Beijing Shi,China,,"Jiuxianqiao Road, Beijing Shi, China","healthcare, hospital, emergency medicine, pediatrics, internal medicine, family medicine, obstetrics & gynecology, dermatology, surgery, traditional chinese medicine, plastic, reconstructive, cosmetic services, dental, reproductive medicine, neurosurgery, psychological health, clinics",'+86 400 891 9191,,"United Family Healthcare (UFH) is an international hospital and clinic network that provides private, premium healthcare. UFH has led the way in private international healthcare in China. After almost two decades, UFH has established itself with hospitals and clinics in Beijing, Shanghai, Guangzhou, Tianjin, Qingdao, Bo'ao and Hangzhou as the provider of choice for those seeking premium, personalized healthcare. There are over 400 full-time doctors from 25 different countries and regions working in UFH. Additionally there are over 1000 part-time experts and over 1000 nurses on the team.
With primary care as the core philosophy of our general practice, UFH has built a continuous comprehensive system that starts from preventive care and covers diagnosis, treatment, and rehabilitation. This healthcare system, combined with the employment of a strict medical standard, the adoption of proven medical management techniques, and a willingness to invest in infrastructure and technology, has allowed United Family Healthcare to achieve remarkable results for its patients and set a healthcare delivery standard for others to emulate.
UFH is constantly striving to meet and exceed worldwide service quality and patient safety standards. This level of quality is evidenced by our sixth Joint Commission International (JCI)  reaccreditation.

和睦家医疗秉承现代医院管理理念，致力于为来自不同国家和地区的患者提供个性化的，高质量的，以病人为中心的医疗服务。经过多年的发展，和睦家医疗在北京、上海、广州、天津、青岛、杭州、博鳌等地设有医院和诊所，为民众提供个性化的医疗服务。全职医生共426人，来自25个国家或地区，兼职专家团队超过1000人，护理团队1000余人。
和睦家医疗建立了以全科医疗为中心的医疗服务体系，提供覆盖全生命周期的医疗服务，包括预防保健、诊断、治疗以及康复。这样一个完备的系统，结合严谨的循证医疗实践，先进的管理经验，以及技术和设备上的不断投入，和睦家为病人带来了卓越的的效果，为行业同仁设定了医疗服务的高标准。
和睦家医疗坚持不懈地追求符合甚至超越高标准的服务和质量, 连续六次高分通过了JCI认证。",1997
United States Institute of Peace,international affairs,http://www.usip.org,http://www.linkedin.com/company/united-states-institute-of-peace,https://facebook.com/usinstituteofpeace,https://twitter.com/USIP,2301 Constitution Avenue Northwest,Washington,District of Columbia,United States,20037,"2301 Constitution Avenue Northwest, Washington, District of Columbia, United States, 20037","peacebuilding, foreign policy, national security, conflict management, conflict prevention, conflict resolution, grantmaking, education, training",'+1 202-457-1700,,"The United States Institute of Peace is a national, nonpartisan, independent institute, founded by Congress and dedicated to the proposition that a world without violent conflict is possible, practical and essential for U.S. and global security. In conflict zones abroad, the Institute works with local partners to prevent, mitigate, and resolve violent conflict. To reduce future crises and the need for costly interventions, USIP works with governments and civil societies to build local capacities to manage conflict peacefully. The Institute pursues its mission by linking research, policy, training, analysis and direct action to support those who are working to build a more peaceful, inclusive world.

Stay up to date with employment opportunities at USIP by visiting: https://www.usip.org/about/careers",1984
United Nations Office for Disaster Risk Reduction (UNDRR),international affairs,http://www.undrr.org,http://www.linkedin.com/company/undrr,https://facebook.com/unisdr,https://twitter.com/unisdr,9 Rue de Varembe,Geneva,Geneva,Switzerland,1202,"9 Rue de Varembe, Geneva, Geneva, Switzerland, 1202",disaster risk reduction & resilience,'+1 212-963-5047,"The UNDRR brings governments, partners, and communities together to reduce disaster risk and losses and to ensure a safer, sustainable future.","At the UN Office for Disaster Risk Reduction (UNDRR), we're dedicated to helping countries and communities lower risk and raise resilience in the face of natural and human-induced hazards. Our work is guided by the Sendai Framework for Disaster Risk Reduction, a 15-year agreement adopted by the international community in 2015, which was the first building block of the 2030 Agenda for Sustainable Development.",1999
United Robotics Group,machinery,http://www.unitedrobotics.group,http://www.linkedin.com/company/united-robotics-group,https://www.facebook.com/UnitedRobotics.Group,https://twitter.com/united_robotics,45 Wittener Strasse,Bochum,North Rhine-Westphalia,Germany,44789,"45 Wittener Strasse, Bochum, North Rhine-Westphalia, Germany, 44789","service robotik, kollaborative robotik, cobots, robots as a service",'+49 69 427260238,"United Robotics Group's solutions alleviate workforce shortages, increase job attractiveness, and streamline everyday tasks.","Founded by Thomas Hähn in 2020, United Robotics Group unites young service robotics companies into a unique ecosystem by bundling hardware and software expertise under one roof. Headquartered in Bochum, Germany, United Robotics Group brings together cutting-edge technology and robotic experts from both the social and industrial world. United Robotics Group shares the common ambition to empower humanity with technology and lighten processes for humans, helping them focus on human interactions in a safe and secure environment.

As the CobiotX company who created this 3rd generation of robotics – robots for humans, the United Robotics Group is committed to developing standardized and customized solutions to meet social and business challenges in the life science, health and care, hospitality, education, intralogistics, maintenance and surveillance sectors with quality, data protection and sustainability as key driving forces. All planning humans in the center of all.
RSBG SE, the investment entity of RAG-Stiftung, focused on technology and engineering-driven companies is the majority shareholder of United Robotics Group. SoftBank Robotics Group is a minority shareholder of United Robotics Group.",2021
United Robotics Group,electrical/electronic manufacturing,http://www.aldebaran.com,http://www.linkedin.com/company/aldebaranrobotics,https://www.facebook.com/AldebaranRobotics,https://twitter.com/AldebaranRobots,43 Rue du Colonel Pierre Avia,Issy-les-Moulineaux,Ile-de-France,France,75015,"43 Rue du Colonel Pierre Avia, Issy-les-Moulineaux, Ile-de-France, France, 75015","humanoid robotics, technology, robotics, robot, robots",'+33 1 77 37 17 52,Aldebaran is the world leader in humanoid robotics. Discover our robots Pepper and NAO and their solutions for your company.,"Leader in humanoid robotics, Aldebaran (formerly SoftBank Robotics Europe) is headquartered in Paris and regroups around 180 employees. Creator of the robots NAO, Pepper and Romeo, used today in more  than  70  countries  worldwide,  in  various  fields,  such  as  research,  education,  retail, healthcare, tourism, hospitality or entertainment.

For more information: https://www.aldebaran.com
Facebook : Softbank Robotics Europe / Nao.therobot
Twitter : @SBREurope / @PepperTheRobot /  @NaoRobot 
Instagram : @SBREurope
Youtube : SoftBank Robotics Europe",2005
United Utilities,utilities,http://www.unitedutilities.com,http://www.linkedin.com/company/united-utilities,https://www.facebook.com/OfficialUnitedUtilities,https://twitter.com/unitedutilities,,Great Sankey,England,United Kingdom,WA5 3UZ,"Great Sankey, England, United Kingdom, WA5 3UZ",,'+44 34 5672 3723,"United Utilities provides water and wastewater services in the North West of England. Manage your account, pay your water bill, submit a water meter reading and get updates of current incidents in your area online.","United Utilities provides water and wastewater services to around seven million people in the North West of England supplying 3million households and 200,000 business premises. We manage the catchment land around our reservoirs to safeguard the quality of the raw water we collect and store.
 
We then treat and deliver it to our customer's taps - around 1,500 million litres a day

We also collect wastewater from our customers and surface water from roads and highways, treat it at our wastewater treatment works before returning it back safely to the environment.

In order to do this we have:

- 184 reservoirs
- over 42,000 km of water pipes, from Cumbria to Cheshire
- over 72,000 km of sewers
- over 1,400 km of aqueducts
- 100 water treatment works
- 575 wastewater treatment works
- 57,000 hectares of catchment land",1995
