Company,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Short Description,Founded Year
Apple Inc.,Technology,https://www.apple.com/,https://www.linkedin.com/company/apple,https://www.facebook.com/apple/,https://twitter.com/apple,info not available,info not available,info not available,info not available,info not available,info not available,"Computer manufacturer, electronics manufacturer, technology company, consumer electronics",info not available,info not available,"Apple Inc. is primarily known for its innovative technology products, including computers (MacBooks) and mobile devices (iPhones, iPads).",info not available
"Amazon.com, Inc.","E-commerce, Cloud Computing, Digital Streaming, Artificial Intelligence",www.amazon.com,https://www.linkedin.com/company/amazon,https://www.facebook.com/Amazon/,https://twitter.com/amazon,410 Terry Ave. North,Seattle,WA,USA,98109-5210,"410 Terry Ave. North, Seattle, WA, 98109-5210","E-commerce, Online Retail, Internet Shopping, Online Marketplace",206-266-1000,info not available,"Amazon is a leading player in the e-commerce and cloud computing industries, known for its vast product selection, customer-centric approach, and continuous innovation.",info not available
"Shell USA, Inc.",Unclassified Establishments,https://www.shell.com/,https://www.linkedin.com/company/shell,https://www.facebook.com/ShellUSA/,https://twitter.com/shell_usa,info not available,info not available,info not available,info not available,info not available,INFO_NOT_FOUND,info not available,888-GO-SHELL (888-467-4355) Option 8,Shell is a global group of energy and petrochemical companies. Learn more about Shell on our global website.,info not available,info not available
Oracle,Software Publishers,https://www.oracle.com/,https://www.linkedin.com/company/oracle,https://www.facebook.com/Oracle/,https://twitter.com/oracle?lang=en,500 Oracle Parkway,Redwood Shores,CA,USA,94065,"500 Oracle Parkway, Redwood Shores, CA 94065","Software Development, Cloud Software, Enterprise Software, Database Software",1.800.223.1711,Oracle offers a comprehensive and fully integrated stack of cloud applications and cloud platform services.,Oracle Corporation is a multinational computer technology company that offers a comprehensive suite of cloud applications and cloud platform services.,info not available
Dove,Consumer Goods,https://www.dove.com/us/en/home.html,https://uk.linkedin.com/showcase/doveglobal/,https://www.facebook.com/DoveUS/,https://twitter.com/dove?lang=en,1419 Longworth House Office Building,Washington,DC,USA,20515,"1419 Longworth House Office Building, Washington, DC 20515","personal care products, cosmetics manufacturing, skincare products, beauty products",(202) 225-7084,info not available,"Dove is a personal care brand owned by Unilever, known for its commitment to promoting real beauty and self-esteem.",info not available
T-Mobile,Telecommunications,https://www.t-mobile.com/,https://www.linkedin.com/company/sprint,https://www.facebook.com/p/Sprint-Customer-Support-100067495747430/,https://twitter.com/supportsprint,12920 SE 38th St,Bellevue,Washington,United States,98006,"12920 SE 38th St, Bellevue, Washington, 98006, United States","Wireless communication services, mobile phone plans, home internet, 5G network, telecommunications",(877) 453-1304,"Save on incredible benefits every month. Learn about unlimited plans, 5G internet & more.","T-Mobile offers wireless communication services, including mobile phone plans, home internet, and devices.",info not available
Jaguar,Automobile Manufacturing,https://www.jaguar.com/index.html,https://uk.linkedin.com/company/jaguar-land-rover_1,https://www.facebook.com/Jaguar/,https://twitter.com/jaguar,info not available,info not available,info not available,info not available,info not available,info not available,"luxury automotive, high-performance vehicles, electric vehicles, Jaguar XE, Jaguar XF, Jaguar F-PACE, Jaguar E-PACE, Jaguar I-PACE, Jaguar F-TYPE",info not available,"The official website of Jaguar. Discover our range of vehicles from the XE, XF, XJ, F-Type, F-PACE, E-PACE & our all-electric sports car I-PACE.","Jaguar is a luxury automotive brand known for its high-performance vehicles, including saloons, SUVs, and sports cars.",info not available
Subway,Unclassified Establishments,https://www.subway.com/en-US,https://www.linkedin.com/company/subway,https://www.facebook.com/subway/,https://twitter.com/subway,325 Bic Drive,Milford,CT,USA,06461,"325 Bic Drive, Milford, CT 06461",info not available,(800) 888-4848,Information not available,Information not available,info not available
Delta Air Lines,Unclassified Establishments,https://www.delta.com/,https://www.linkedin.com/company/delta-air-lines,https://www.facebook.com/delta/,https://twitter.com/delta?lang=en,1030 Delta Blvd.,Atlanta,GA,USA,30320,"1030 Delta Blvd., Atlanta, GA, 30320",info not available,(404) 715-2600,Information not available,Information not available,info not available
Orange S.A.,Telecommunications,https://www.orange.com/en,https://www.linkedin.com/company/orange/,https://www.facebook.com/orange/,https://twitter.com/orange,300 E. Chapman Ave.,Orange,CA,USA,92866,"300 E. Chapman Ave., Orange, CA 92866","Telecommunications, Internet Service Provider, Mobile Network Operator, Fixed-Line Provider",(714) 744-2225,"Welcome to the corporate website of the Orange Group, one of the world's leading telecommunications and digital service provider. Orange is here.",Orange S.A. is a leading telecommunications provider with a strong commitment to social responsibility and innovation.,info not available
