Company,Company Name for Emails,Account Stage,Lists,# Employees,Industry,Account Owner,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,Short Description,Founded Year,Logo Url,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score
UNICRI - United Nations Interregional Crime and Justice Research Institute,UNICRI,Cold,,140,international affairs,ars@moative.com,http://www.unicri.org,http://www.linkedin.com/company/unicri,https://facebook.com/pages/UNICRI-United-Nations-Interregional-Crime-and-Justice-Research-Institute/251857109365,https://twitter.com/UNICRI,10 Viale Maestri del Lavoro,Turin,Piedmont,Italy,10127,"10 Viale Maestri del Lavoro, Turin, Piedmont, Italy, 10127",,'+39 02 4223 5252,,"Amazon CloudFront, Route 53, SendInBlue, Outlook, Microsoft Office 365, Amazon AWS, Chartbeat, Brightcove, Drupal, Amazon SES, Pantheon, accessiBe, Hostgator, FareHarbor, Google Tag Manager, Apache, Google Analytics, Google Font API, YouTube, Vimeo, Mobile Friendly, Sojern, Google Speed Analytics, Nginx, DoubleClick, Facebook Login (Connect), Bootstrap Framework, Citrix NetScaler, Google translate widget, Twitter Sharing, Adform, iTunes, Open AdStream (Appnexus), Google translate API, reCAPTCHA, Facebook Custom Audiences, JQuery 1.11.1, JW Player, Webex, JQuery 2.1.1, Google Maps (Non Paid Users), AddThis, Backbone JS Library, Piwik, AppNexus, Microsoft-IIS, Spigit (Mindjet), The Trade Desk, Varnish, Google Play, Cedexis Radar, eRecruit, WordPress.org, ShareThis, Bootstrap Framework v3.2.0, Google Maps, ASP.NET, Stripe, Amadesa, Facebook Widget, Wordpress.com, DotNetNuke, Shutterstock, Eventbrite, SurveyMonkey, SoundCloud, Google Custom Search, Amazon Associates, Google AdSense, MailChimp, Google AdWords Conversion, Kaltura, Multilingual, New Relic, Adobe Media Optimizer, Twitter Advertising, Adobe Edge, Hotjar, Google Plus, Facebook Social Plugins, Disqus, Highcharts JS Library",,,,,3145000,,66c598d7d6073400010064e2,,"The United Nations Interregional Crime and Justice Research Institute - UNICRI - was created in 1965 to assist intergovernmental, governmental and non-governmental organizations in formulating and implementing improved policies in the field of crime prevention and justice. UNICRI acts with its partners in the international community to: advance understanding of crime-related problems; foster just and efficient criminal justice systems; support the respect of international instruments and other standards; facilitate international law enforcement cooperation and judicial assistance.

UNICRI provides applied research, training programmes and technical cooperation. The current priorities include, inter alia, activities related to justice reform, prevention and control of international terrorism, transnational organised crime, illicit trafficking, counterfeiting, cyber crimes, and crimes against the environment.",1965,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66a28aecc39ee800012c15a5/picture,,,,
United Drug,United Drug,Cold,,390,pharmaceuticals,ars@moative.com,http://www.united-drug.com,http://www.linkedin.com/company/united-drug,https://www.facebook.com/uniteddrug/,https://twitter.com/united_drug,Magna Drive,Dublin,County Dublin,Ireland,24,"Magna Drive, Dublin, County Dublin, Ireland, 24","pharmaceutical wholesale, pharmaceutical distribution, tailored pharmacy solutions, pharmacy innovation, retail pharmacy",'+353 1 215 8800,"Providing supply chain excellence for nearly two centuries, we improve care in every setting, one product, one partner, one patient at a time. Our business spans across three business units; United Drug Wholesale, United Drug Consumer and United Drug Distribution – all leaders in their category.","CSC Corporate Domains, Microsoft Office 365, Pardot, OneTrust, Shopify Plus, Google Tag Manager, Google Analytics, Shopify, Cedexis Radar, Mobile Friendly, Vimeo, Adobe Media Optimizer, , Remote",,,,,10000000,,66c598d7d6073400010064ec,,"United Drug is Ireland's leading pharmaceutical distribution company and is part of Europe's leading healthcare provider, PHOENIX group. Originally founded as a family business in Ballina, United Drug has grown to become a force for innovation in Ireland's pharmaceutical industry. Offering customers three service divisions, United Drug is a total solutions provider for Pharmacies, Hospitals and Patient needs.

United Drug Consumer 

At United Drug Consumer, our expertise lie in supplying and distributing the products normally found at the front of the pharmacy counter – from fragrances and cosmetics to over-the-counter medicines. We also offer a range of services including sales, product training, marketing and e-commerce opportunities to our suppliers and customers.

United Drug Wholesale

As part of our commitment to providing best in class pharmaceutical products and services, United Drug Wholesale also offers a range of tailored solutions that offer pharmacies a one stop shop for optimising their businesses with access to buying groups, claims management, retail optimisation and patient care services.

United Drug Distribution

United Drug Distribution is the leading pre-wholesaler and pharmaceutical distribution in Ireland. Managing outsourced activities on behalf of over 80 of the world's leading healthcare manufacturers, our core focus is in the areas of storage, order processing, distribution, commercial support and we also offer a range of bespoke value added services.",1948,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66bfdd1641371a000169a81d/picture,,,,
United Safety,United Safety,Cold,,870,oil & energy,ars@moative.com,http://www.unitedsafety.net,http://www.linkedin.com/company/united-safety,https://www.facebook.com/UnitedSafety/,https://twitter.com/uslnet,125 E Lake Rd NE,Airdrie,Alberta,Canada,T4A 2E9,"125 E Lake Rd NE, Airdrie, Alberta, Canada, T4A 2E9","h2s safety services, upstream safety services, safety technician services, asset integrity management, operational safety management, confined space monitoring, drone services, body temperature monitoring solution, fire protection services, downstream safety services, industrial safety services, mobile fire extinguisher service center, fixed fire suppression system",'+1 403-912-3690,"We are a global safety solutions provider specializing in H2S safety services, safety equipment and personnel, digital solutions for the Oil & Gas industry.","Outlook, Microsoft Office 365, UPS, Active Campaign, reCAPTCHA, DoubleClick, Mobile Friendly, Google Analytics, Google Tag Manager, Vimeo, Linkedin Marketing Solutions, Google Font API, YouTube, Apache, Google Dynamic Remarketing, DoubleClick Conversion, WordPress.org",,,,,24871000,,66c598d7d6073400010064f1,7380,"United Safety is a safety solutions provider specializing in safety equipment, personnel and services for the Oil and Gas industry. With over 30 years of experience and global operations, we have built an impressive track record and earned a reputation for safety services you can rely on.",1987,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c3a4676d0bd30001741615/picture,,,,
United States Golf Association (USGA),United States Golf Association,Cold,,610,sports,ars@moative.com,http://www.usga.org,http://www.linkedin.com/company/united-states-golf-association,https://www.facebook.com/usopen,https://twitter.com/usopengolf,77 Liberty Corner Road,Far Hills,New Jersey,United States,7931,"77 Liberty Corner Road, Far Hills, New Jersey, United States, 07931","golf, golf courses, rules, championships, us open, history, equipment",'+1 908-234-2300,"The official home of the 2024 U.S. Amateur Championship at Hazeltine National Golf Club (Chaska, Minn.) and Chaska Town Course (Chaska, Minn.) from August 12-18. Watch the best amateur golfers in the world vie for the championship. Get tickets, view the leader board, highlights, stories, and more!","Akamai DNS, SendInBlue, Outlook, Microsoft Office 365, Zendesk, Microsoft Azure Hosting, Taboola Newsroom, TubeMogul, Drupal, Adobe Marketing Cloud, Microsoft Application Insights, LearnDash, WP Engine, React Redux, Omniture (Adobe), StackAdapt, The Trade Desk, Adobe CQ, Hubspot, Quantcast, AppNexus, DoubleClick Conversion, Google Tag Manager, Facebook Login (Connect), Google AdSense, Microsoft-IIS, DoubleClick Floodlight, Constant Contact, Google Play, AngularJS, Woo Commerce, WordPress.org, Linkedin Marketing Solutions, Cloudinary, Piwik, Google Font API, Webex, Bootstrap Framework, Mobile Friendly, Google Analytics, Adobe Media Optimizer, Gravity Forms, Gigya, DataXu, DoubleClick, Google AdWords Conversion, Facebook Widget, reCAPTCHA, Greenhouse.io, Amadesa, YouTube, Facebook Custom Audiences, Google Dynamic Remarketing, Formstack, JQuery 1.11.1, Zencoder, Bing Ads, Visa Checkout, Akamai RUM, Nginx, Paypal, Remote",,,,,492827000,,66c598d7d6073400010064f5,8300,"The USGA is a nonprofit organization that celebrates, serves and advances the game of golf.  Founded in 1894, we conduct many of golf's premier professional and amateur championships, including the U.S. Open and U.S. Women's Open.  With The R&A, we govern the sport via a global set of playing, equipment, handicapping and amateur status rules.  The USGA campus in Liberty Corner, New Jersey, is home to the Association's Research and Test Center, where science and innovation are fueling a healthy and sustainable game for the future.  The campus is also home to the USGA Golf Museum, where we honor the game by curating the world's most comprehensive archive of golf artifacts.  To learn more, visit usga.org.",1894,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c24ac15c86fb0001210bd7/picture,,,,
Carlton & United Breweries,Carlton & United Breweries,Cold,,1300,mechanical or industrial engineering,ars@moative.com,http://www.cub.com.au,http://www.linkedin.com/company/carlton-united-breweries,https://facebook.com/pages/Carlton%20&%20United%20Breweries/112361475445379/,https://twitter.com/cub_world,58 Queens Bridge St,Melbourne,Victoria,Australia,3006,"58 Queens Bridge St, Melbourne, Victoria, Australia, 3006","beer, brewing, marketing, distribution, fmcg, consumer goods, drinks, cider, rtds",'+61 3 6212 7800,"Carlton & United Breweries is the most iconic beer company in Australia, with origins dating back to 1824","Salesforce, CSC Corporate Domains, Outlook, Pardot, Microsoft Office 365, Mailchimp Mandrill, Gmail, Google Apps, ExactTarget, Active Campaign, Salesforce Live Agent, Mapbox, Facebook Widget, Facebook Login (Connect), DoubleClick Conversion, Shutterstock, Google Tag Manager, Facebook Custom Audiences, WordPress.org, reCAPTCHA, Google Dynamic Remarketing, DoubleClick, Mobile Friendly, Linkedin Marketing Solutions, New Relic, Apache, AI",,,,,2000000000,,66c598d7d6073400010064fc,2080,CUB is an Australia-based brewing company that manufactures and supplies beers and wines for the commercial market.,1832,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c29b124aae6c0001ed98f6/picture,,,,
United States Courts,United States Courts,Cold,,30000,government administration,ars@moative.com,http://www.uscourts.gov,http://www.linkedin.com/company/us-courts,https://www.facebook.com/USPROBMIED,https://twitter.com/uscourts,Columbus Cir NE,Washington,District of Columbia,United States,20002,"Columbus Cir NE, Washington, District of Columbia, United States, 20002","adjudication, justice, law, courts, law clerks, bankruptcy, naturalization, citizenship, probation & pretrial services, judges, staff attorneys, federal public defenders, jury",'+1 202-502-2600,United States Probation Office for the Eastern District of Michigan.,"Akamai, Akamai DNS, Microsoft Office 365, Amazon AWS, Outlook, Pagely, Adobe Media Optimizer, Varnish, Google Maps (Non Paid Users), CrazyEgg, Google Tag Manager, Vimeo, Cloudinary, Drupal, Google Custom Search, Microsoft Frontpage, Facebook Widget, Mobile Friendly, Microsoft-IIS, ProvideSupport, OpenSSL, Google translate widget, SurveyMonkey, Wufoo, Piwik, GoToWebinar, Advanced Solutions International (ASi), Shutterstock, Nginx, Cedexis Radar, Google Maps, Google Analytics, YouTube, Google AdSense, DotNetNuke, reCAPTCHA, LiveChat, Apache, Webex, WordPress.org, Bootstrap Framework, MemberClicks, Eventbrite, Flite, Highcharts JS Library, Ruxit, Ubuntu, Google Font API, Google Play, Shopify, Facebook Login (Connect), Multilingual, StatCounter, Adobe Coldfusion, Avectra, LiveZilla, Google translate API, ASP.NET, Formassembly, Disqus, JQuery 1.11.1, Render",,,,,750000000,,66c598d7d607340001006546,8600,"The U.S. Courts, located in courthouses across the nation, safeguard the constitutional rights and liberties of the public. Judges, court clerks, federal public defenders, law clerks, probation and pretrial services officers, technology specialists, human resources and budget specialists, administrative staff, and many others with a variety of skills and talents work in support of this mission. We invite you to learn more about us and join the people who work to help ensure equal justice under the law. 

About the Courts

As Guardians of the Constitution, the U.S. Courts address cases and controversies that can impact the lives of all Americans. The U.S. Courts: 

- Help individuals and businesses who cannot pay their debts.
- Resolve civil disputes involving failure to meet legal agreements.
- Decide criminal cases alleging violations of federal criminal laws.
- Conduct naturalization ceremonies for new U.S. citizens.
- Work with criminal defendants and offenders in the probation and pretrial system.
- Provide federal public defenders to those who cannot afford legal counsel. 
- Call those 18 years and older to serve on juries.
- Call witnesses to testify in civil or criminal cases.

The U.S. Courts System is comprised of the U.S. Supreme Court; 13 U.S. Courts of Appeals; 94 U.S. District Courts, which include U.S. Bankruptcy Courts; Courts of Special Jurisdiction; U.S. Probation and U.S. Pretrial Services Offices; Federal Public Defenders Offices; and several support agencies, including the Administrative Office of the U.S. Courts, the Federal Judicial Center, and the U.S. Sentencing Commission.",1789,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c38f4690757c0001ac7690/picture,,,,
United Language Group,United Language Group,Cold,,970,translation & localization,ars@moative.com,http://www.unitedlanguagegroup.com,http://www.linkedin.com/company/united-language-group,https://www.facebook.com/unitedlanguagegroup/,https://twitter.com/viadelivers,1550 Utica Ave S,Minneapolis,Minnesota,United States,55416-3607,"1550 Utica Ave S, Minneapolis, Minnesota, United States, 55416-3607","interpretation solutions, translation solutions, health outcomes solutions, localization solutions, machine translation, interpreting, translation services, translation, interpreting services, language services, interpretation, language, language service provider",'+1 855-786-4833,"United Language Group is a global localization, interpretation and translation services company, with 24/7 support in 200+ languages.","DNS Made Easy, Gmail, Pardot, Google Apps, Microsoft Office 365, Outlook, Hubspot, ADP Workforce Now, DemandBase, Facebook Login (Connect), Linkedin Widget, Mobile Friendly, Google Tag Manager, DoubleClick, Linkedin Marketing Solutions, UltiPro, Facebook Custom Audiences, Google Dynamic Remarketing, Facebook Widget, Linkedin Login, Google Analytics, DoubleClick Conversion, Render, AI",,,,,30000000,,66c598d7d60734000100654e,7371,"United Language Group (ULG) is one of the world's leading translation and interpretation companies, providing services in over 200 languages. Our team utilizes cutting-edge technology and linguistic expertise to provide results worldwide for customers in varied industries including Healthcare, Life Sciences, Government, Technology, Manufacturing, Legal, Utilities, and Insurance. Our expertise is language, and our greatest asset is our people.",2016,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66c389abf987b100013b0cfc/picture,,,,
United States Army Reserve,United States Army Reserve,Cold,,24000,military,ars@moative.com,,http://www.linkedin.com/company/united-states-army-reserve,,https://twitter.com/usarec,4710 Knox St,,North Carolina,United States,28307,"4710 Knox St, North Carolina, United States, 28307",national & homeland defense & military,'+1 502-626-0433,The official website for the Army Recruiting Command (USAREC),"Akamai, Amazon AWS, Google Tag Manager, Adobe Coldfusion, AddThis, DotNetNuke, Akamai RUM, Linkedin Marketing Solutions, F5 BIG-IP, Google Font API, Facebook Login (Connect), Mobile Friendly, Google Analytics, WordPress.org, Facebook Like Button, Bootstrap Framework, reCAPTCHA, YouTube, Facebook Widget",,,,,,,66c598d7d607340001006556,,,1908,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66bf6dd6f2a8910001a1904c/picture,,,,
United States University,United States University,Cold,,260,higher education,ars@moative.com,http://www.usuniversity.edu,http://www.linkedin.com/school/united-states-university,https://www.facebook.com/UnitedStatesUniversity/,https://twitter.com/usuniversity,7675 Mission Valley Rd,San Diego,California,United States,92108,"7675 Mission Valley Rd, San Diego, California, United States, 92108","education, health sciences, nursing, business",'+1 619-477-6310,United States University is a top accredited school with degree & certificate programs online & on campus. Enroll today!,"Mailchimp Mandrill, Gmail, Google Apps, Microsoft Office 365, DoubleClick, WordPress.org, Mobile Friendly, Google Dynamic Remarketing, Linkedin Marketing Solutions, Bing Ads, Ubuntu, Google Tag Manager, Google Analytics, LiveChat, DoubleClick Conversion, Facebook Login (Connect), Facebook Widget, Microsoft-IIS, Nginx, Facebook Custom Audiences",,,,,7000000,,66c598d7d607340001006557,"8200, 8200","USU is an educational and research institution that offers degree programs in fields of nursing, business management and health sciences.",1997,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/669c2dbd9ff0330001ae83e8/picture,,,,
"Girl Up, United Nations Foundation",Girl Up United Nations Foundation,Cold,,730,nonprofit organization management,ars@moative.com,http://www.girlup.org,http://www.linkedin.com/company/girl-up,https://facebook.com/girlup,https://twitter.com/girlup,1750 Pennsylvania Ave NW,Washington,District of Columbia,United States,20006,"1750 Pennsylvania Ave NW, Washington, District of Columbia, United States, 20006",,'+1 202-887-9021,"We’re a movement to advance girls’ skills, rights, and opportunities to be leaders. When girls rise, we all rise.","Outlook, Microsoft Office 365, Gmail, Google Apps, Google Font API, WordPress.org, Eventbrite, Stackla, Nginx, Google Tag Manager, Intercom, Ruby On Rails, Twitter Advertising, Mobile Friendly, New Relic, Facebook Custom Audiences, YouTube, Google Maps, Facebook Login (Connect), Facebook Widget, Google Analytics, Bootstrap Framework, Varnish",,,,,3951000,,66c598d7d607340001006564,8300,"Girl Up is a girl-centered leadership development initiative, focusing on equity for girls and women in spaces where they are unheard or underrepresented. We believe when girls and women are in positions of influence, they work to create a more just and equitable world for everyone.

Girl Up operates a global network of regional affiliates reaching 270,000 girls in 155 countries. We deliver evidence-based leadership development training through our girl-led Clubs, programs, and events. As members of a
global movement, girls are a force for social good — connected to a Community of their peers who are advocating for policy change and advancing gender justice.

Founded in 2010 and hosted by the United Nations Foundation, Girl Up welcomes girls and youth of all gender identities to start a Club and join our movement to advance gender justice worldwide. Together, we are expanding girls' skills, rights, and opportunities to lead, and changing the face of leadership for generations to come.",2010,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63661f422ae8020001bc73bf/picture,,,,
