Company,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Short Description,Founded Year
Quantum Dynamics,Unclassified Establishments,https://qdyncorp.com/,https://www.linkedin.com/company/quantumdynamics,https://www.facebook.com/followquantum/,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,Information not available,Information not available,info not available
Ecosphere Organics,info not available,URL_NOT_FOUND,https://www.linkedin.com/company/ecosphereorganics,info not available,https://twitter.com/EcosphereCofund,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,Could not find a URL for the company.,Could not find a URL for the company.,info not available
Nebula Technologies,Other Computer Related Services,https://nebulatechnologies.com/,https://www.linkedin.com/company/nebula-tech-inc,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,"IT services, software development, technology solutions, managed services, project management",+1 (651) 344-3567,info not available,"Nebula Technologies is a software house that specializes in providing a range of technology solutions and services, focusing on custom deployment schedules to ensure minimal disruption to business operations.",info not available
Zenith Global,Food and Drinks Consultancy,https://www.zenithglobal.com/,https://www.linkedin.com/company/zenith-global-llc,info not available,https://twitter.com/zenith?lang=en,info not available,info not available,info not available,info not available,info not available,info not available,"consultancy, market intelligence, commercial consulting, operational consulting, food and drinks industry",info not available,"Our commercial and technical consultancy, market intelligence and conference services have helped shape the worldwide food and drinks industry for 30 years.","Zenith Global is a leading consultancy firm specializing in the food and drinks industry, providing a range of services including commercial and technical consultancy, market intelligence, and conference services.",info not available
"Chrysalis BioTherapeutics, Inc.",Biotechnology,https://chrysbio.com/,https://www.linkedin.com/company/chrysalis-biotherapeutics,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,"Biotech, Biopharmaceuticals, Therapeutics, Regenerative Medicine",info not available,"Chrysalis BioTherapeutics, Inc. is a clinical stage biotechnology company focused on the development and commercialization of treatments for serious respiratory disorders and acute radiation exposure.",Chrysalis BioTherapeutics aims to save lives through innovative solutions that leverage natural regenerative peptides to restore vascular function and activate stem cell populations in the body.,info not available
info not available,info not available,URL_NOT_FOUND,https://www.linkedin.com/in/apexsynergyllc,https://www.facebook.com/apex.synergy.sa/,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,Could not find a URL for the company.,Could not find a URL for the company.,info not available
Helios Solar,Unclassified Establishments,https://www.helios-solar.com/,https://www.linkedin.com/company/helio-solar-power,https://www.facebook.com/HeliosEcoLab/,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,Information not available,Information not available,info not available
Polaris Intelligence,Marketing Research and Public Opinion Polling,https://www.polarisintelligence.com/,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,"Market Research, Data Analytics, Customer Insights, Market Intelligence",info not available,Information not available,Polaris Intelligence is a market analytics and intelligence company that provides data-driven insights to help businesses make informed decisions.,info not available
Oasis Cloud Solutions,Unclassified Establishments,https://oasis.app.cloud.gov/,https://www.linkedin.com/company/oasis-cloud-solutions,info not available,https://twitter.com/oasislabs?lang=en,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,Information not available,Information not available,info not available
Titan Robotics Inc.,Robotics and Automation Equipment Manufacturing,https://www.titanrobots.com/,https://www.linkedin.com/company/titan-robotics-inc-,https://www.facebook.com/TitanRobotics2022/,info not available,info not available,info not available,info not available,info not available,info not available,info not available,"Robotics manufacturing, Industrial automation, Robotic systems, Automation solutions",info not available,Agent stopped due to max iterations.,Titan Robotics Inc. specializes in developing advanced robotic solutions leveraging machine learning and AI for various industries.,info not available
