Company,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Short Description,Founded Year
Volkswagen (VW),Automotive,https://www.vw.com/en.html,https://www.linkedin.com/company/volkswagen/,https://www.facebook.com/VW/,https://twitter.com/vw,info not available,info not available,info not available,info not available,info not available,info not available,"Car manufacturing, automotive production, vehicle manufacturing",info not available,"Explore the latest Volkswagen vehicle models, discover exclusive offers, stay updated with the latest information, and check out pricing details.",Volkswagen is a well-established automotive company with a strong focus on electric vehicles and customer service.,info not available
Société Générale,Commercial Banking,https://www.societegenerale.com/en,https://www.linkedin.com/company/societe-generale/,https://www.facebook.com/societegenerale/?locale=fr_FR,https://twitter.com/societegenerale?lang=en,245 Park Avenue,New York,NY,USA,10167,"245 Park Avenue, New York, NY 10167","Banking, Financial Services, Corporate Social Responsibility, Innovation",00 32 2 706 42 21,"A European leader in financial services for over 150 years, Societe Generale is built on three complementary businesses: French Retail Banking, International Retail Banking and Financial Services, and Global Banking and Investor Solutions.",Société Générale is a prominent French multinational banking and financial services company focused on responsible and innovative financial solutions.,info not available
Mitsubishi Corporation,Unclassified Establishments,https://www.mitsubishi.com/,https://www.linkedin.com/company/mitsubishi-corporation/,https://www.facebook.com/MitsubishiMotors.en/,https://twitter.com/mitsucars?lang=en,13340 Smallwood Place,Richmond,BC,Canada,V6V 1W8,"13340 Smallwood Place, Richmond, BC, V6V 1W8","Unclassified, Unknown Industry",(604) 273-2000,info not available,info not available,info not available
Huawei,Technology,https://www.huawei.com/en/,https://www.linkedin.com/company/huawei,https://www.facebook.com/huawei/,https://twitter.com/huawei,info not available,info not available,info not available,info not available,info not available,info not available,"Consumer electronics, Telecommunications, Cloud services, Computing solutions",info not available,Huawei is a leading global provider of information and communications technology (ICT) infrastructure and smart devices.,Huawei is a comprehensive technology provider with a diverse range of products and services aimed at both consumers and businesses.,info not available
Škoda Auto,Automobile Manufacturing,https://www.skoda-auto.com/,https://www.linkedin.com/company/skoda-auto,https://www.facebook.com/SkodaIndia/,https://twitter.com/skodaautonews?lang=en,Tř. Václava Klementa 869,Mladá Boleslav II,info not available,Czech Republic,293 01,"Tř. Václava Klementa 869, Mladá Boleslav II, 293 01 Mladá Boleslav, Czech Republic","Automobile manufacturer, electric vehicles, hybrid vehicles, sustainability, connectivity",+420 236 090 002,"Škoda is one of the world’s oldest car makers, its origins go back to 1895. Explore Škoda cars today and learn more about the brand.","Škoda Auto is a prominent automobile manufacturer based in the Czech Republic, known for its wide range of vehicles and commitment to sustainability and connectivity.",1895
Hyundai Motor Company,Automobile Manufacturing,https://www.hyundai.com/worldwide/en,https://www.linkedin.com/company/hyundai-motor-america,https://www.facebook.com/Hyundai/,https://twitter.com/hyundai,111 South Homestead Blvd,Homestead,FL,USA,33030,"111 South Homestead Blvd, Homestead, FL 33030","automotive manufacturer, electric vehicles, hybrid models, sustainability, mobility solutions",1-800-633-5151,"Hyundai Official Website. Explore Hyundai Motor’s various vehicle lineups, brand vision and global campaign like clean mobility, sustainability, art and sports partnership.",Hyundai Motor Company is a global automotive manufacturer known for its innovative approach to mobility solutions and sustainability initiatives.,info not available
Komatsu,Construction Machinery Manufacturing,https://www.komatsu.com/en/,https://www.linkedin.com/company/komatsunorthamerica,https://www.facebook.com/KomatsuConstructionnorthamerica/,https://x.com/komatsumining,"8770 W. Bryn Mawr Ave., Suite 100",Chicago,IL,USA,60631,"8770 W. Bryn Mawr Ave., Suite 100, Chicago, IL 60631","Heavy Equipment Manufacturing, Construction Equipment Manufacturing, Mining Equipment Manufacturing",847-437-3888,info not available,info not available,info not available
Xiaomi,Unclassified Establishments,https://www.mi.com/global/,https://www.linkedin.com/company/xiaomi-technology/,https://www.facebook.com/XiaomiGlobal/,https://twitter.com/xiaomi?lang=en,info not available,info not available,info not available,info not available,info not available,info not available,"Xiaomi Phones, Redmi Phones, Xiaomi Bands, Smart Home Devices",info not available,"Welcome to Xiaomi global official website to discover the latest Xiaomi Phones, Redmi Phones, Xiaomi Bands, Smart Home Devices and other popular products.",info not available,info not available
Crédit Agricole,Commercial Banking,https://www.credit-agricole.com/en,https://www.linkedin.com/company/credit-agricole-cib,https://www.facebook.com/CreditAgricole/?locale=fr_FR,https://twitter.com/ca_cib?lang=en,50 avenue Jean Jaurès,Montrouge,info not available,France,92 120,"50 avenue Jean Jaurès, 92 120 Montrouge, France","Retail Banking, Deposit Taking, Loan Issuing",01 57 72 00 00,The news site of Crédit Agricole Group,"Crédit Agricole is a leading French bank and a prominent player in the banking sector in France, operating as a mutual and cooperative group.",info not available
Lenovo,Electronic Computer Manufacturing,https://www.lenovo.com/us/en/,https://www.linkedin.com/company/lenovo,https://www.facebook.com/lenovo/,https://twitter.com/lenovous,info not available,info not available,info not available,info not available,info not available,info not available,"Computer Manufacturer, Laptop Manufacturer, Desktop Manufacturer, Server Manufacturer",1-855-2-LENOVO (1-855-253-6686),"Get the best deals on Lenovo laptops, tablets and PCs at our computer store. Shop now and save big! Call our sales team ☎ 1-855-2-LENOVO (1-855-253-6686)","Lenovo is a multinational technology company known for its wide range of products including laptops, desktops, tablets, and servers.",info not available
