Company,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Short Description,Founded Year
Euclid Transactional,Unclassified Establishments,https://euclidtransactional.com/,https://www.linkedin.com/company/euclid-transactional,info not available,https://twitter.com/euclid_manda?lang=en,"1 Park Avenue, 18th Floor",New York,NY,USA,10016,"1 Park Avenue, 18th Floor, New York, NY 10016",info not available,info not available,Information not available,Information not available,info not available
JTW Advisors LLC,Real Estate,https://jtwadvisors.com/,https://www.linkedin.com/company/jtwadvisorsllc,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,"Real estate advisory, homebuilding services, real estate brokerage",info not available,info not available,"JTW Advisors LLC focuses on the homebuilding industry and the real estate sector, offering advisory services related to property sales and development.",info not available
Option 3,Unclassified Establishments,https://option3.com/,https://www.linkedin.com/company/option3ltd,https://www.facebook.com/option3.io/,info not available,info not available,info not available,info not available,info not available,info not available,info not available,"Unclassified, Unknown Industry",info not available,Information not available,Information not available,info not available
Tusk Practice Sales,Unclassified Establishments,https://tuskpracticesales.com/,https://www.linkedin.com/company/tuskpracticesales,https://www.facebook.com/TuskPracticeSales/,info not available,info not available,info not available,info not available,info not available,info not available,info not available,"Unclassified, Unknown Industry",info not available,Information not available,Information not available,info not available
SS&C Technologies,Financial Services Technology,https://www.ssctech.com/,https://www.linkedin.com/company/ss-c-technologies,https://www.facebook.com/ssctechnologies/,https://twitter.com/ssctechnologies,50 Milk Street 7th floor,Boston,MA,USA,02109,"50 Milk Street 7th floor, Boston, MA 02109","Investment management software, financial software solutions, asset management technology, software development for finance",+1 617 316 1000,Leading cloud-based provider of financial services technology solutions. SS&C Technologies owns and maintains the best financial technology in the industry.,"SS&C Technologies provides comprehensive software and service solutions across multiple sectors, focusing on investment management and operational efficiency.",info not available
Cowbell Insurance,Cyber Insurance,https://cowbell.insure/,https://www.linkedin.com/company/cowbell-cyber,https://www.facebook.com/cowbellrockrow/,https://twitter.com/cowbellcyber?lang=en,6800 Koll Center Pkwy Suite 250,Pleasanton,CA,USA,info not available,"6800 Koll Center Pkwy Suite 250, Pleasanton, CA, United States","Cyber Insurance, Property and Casualty Insurance, Insurance Providers, Risk Management Services",+1 980-224-8674,"Cowbell harnesses technology, data and AI to provide SMEs with advanced warning of cyber risk and adaptive cyber insurance.","Cowbell Insurance is a provider of adaptive cyber insurance focusing on SMEs, leveraging technology and data for risk management.",info not available
Align Business Advisory Services,"Mergers & Acquisitions, Management Consulting",https://alignba.com/,https://www.linkedin.com/company/align-business-advisory-services,https://www.facebook.com/alignBA/,https://twitter.com/align_ba,info not available,info not available,info not available,info not available,info not available,info not available,"Mergers & Acquisitions, Management Consulting, Business Strategy, Finance, Lower Middle Market",info not available,Align BA is a Lower Middle Market Mergers & Acquisition Firm for a wide range of industries. Get a free consultation for our business advisory services.,Align Business Advisory Services is a specialized firm focused on Mergers & Acquisitions and management consulting for lower-middle-market businesses.,info not available
Pinnacle Mergers,Investment Banking and Securities Dealing,https://pinnaclemergers.com/,https://www.linkedin.com/company/pinnacle-mergers-acquisitions,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,"Mergers and Acquisitions Brokerage, Dealership Brokerage, Automotive Brokerage Services",info not available,info not available,"Pinnacle Mergers is a brokerage firm specializing in mergers and acquisitions within the automotive dealership sector, offering services for both buying and selling auto dealerships.",info not available
Sun Life Financial,Unclassified Establishments,https://www.sunlife.com/en/,https://www.linkedin.com/company/sun-life-financial,https://www.facebook.com/SLFCanada/,https://twitter.com/sunlife,"150 King Street West, 1 York Street",Toronto,ON,Canada,"M5H 1J9, M5J 0B6","150 King Street West, Toronto, ON M5H 1J9, Canada; 1 York Street, Toronto, ON M5J 0B6, Canada","Unclassified, Unknown Industry",info not available,Information not available,Information not available,info not available
Brown Gibbons Lang & Company (BGL),Investment Banking and Securities Dealing,https://www.bglco.com/,https://www.linkedin.com/company/brown-gibbons-lang-&-company,info not available,https://twitter.com/bglandco,info not available,info not available,info not available,info not available,info not available,info not available,"Investment banking, M&A advisory, capital markets advisory, financial advisory services",info not available,BGL is a top middle market investment bank providing strategic counsel on mergers & acquisitions and capital markets for companies.,"Brown Gibbons Lang & Company (BGL) is a middle-market investment bank specializing in mergers and acquisitions, capital markets advisory, financial restructuring, valuations, and other advisory services.",info not available
