Company,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,SEO Description,Short Description,Founded Year
Alphabet Inc.,Offices of Other Holding Companies,http://abc.xyz/,https://www.linkedin.com/company/alphabet-inc,https://www.facebook.com/alphabet/,https://twitter.com/google?lang=en,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043,"1600 Amphitheatre Parkway, Mountain View, CA 94043, USA","Parent company, holding company, conglomerate",info not available,Information not available,Alphabet Inc. is a multinational conglomerate that serves as the parent company of Google and several other businesses.,info not available
Amazon,Unclassified Establishments,https://www.amazon.com/,https://www.linkedin.com/company/amazon,https://www.facebook.com/Amazon/,https://twitter.com/amazon,410 Terry Ave. North,Seattle,WA,USA,98109-5210,"410 Terry Ave. North, Seattle, WA, 98109-5210","Unclassified, Unknown Industry",(206) 266-1000,info not available,info not available,info not available
Meta,Unclassified Establishments,https://www.meta.com/,https://www.linkedin.com/company/meta,https://www.facebook.com/Meta/,https://twitter.com/meta,1 Meta Way,Menlo Park,CA,USA,94025-1452,"1 Meta Way, Menlo Park, CA 94025-1452","Virtual reality, social experiences, Meta Quest, Ray-Ban Stories, VR accessories",650-543-4800,"Discover Meta’s revolutionary technology from virtual reality to social experiences. Shop Meta Quest, Ray-Ban Stories, and VR accessories.",info not available,info not available
Microsoft Corporation,Software Publishers,https://www.microsoft.com/,https://www.linkedin.com/company/microsoft,https://www.facebook.com/Microsoft/,https://x.com/microsoft,info not available,Redmond,Washington,USA,info not available,info not available,"Software Development, Software Publishing, Application Software, Operating Systems",info not available,info not available,"Microsoft Corporation is a leading technology company with a diverse range of products and services, a strong market presence, and a commitment to innovation and corporate responsibility.",1975
Procter & Gamble,Unclassified Establishments,https://us.pg.com/,https://www.linkedin.com/company/procter-and-gamble,https://www.facebook.com/proctergamble/,https://twitter.com/proctergamble,One Procter & Gamble Plaza,Cincinnati,Ohio,USA,45202,"One Procter & Gamble Plaza, Cincinnati, Ohio, 45202","Unclassified, Unknown Industry",1 513 9831100,info not available,info not available,info not available
Unilever,Soap and Other Detergent Manufacturing,https://www.unilever.com/,https://www.linkedin.com/company/unilever,https://www.facebook.com/unilever/,https://twitter.com/Unilever,info not available,info not available,info not available,info not available,info not available,info not available,"consumer goods, sustainability, personal care, home care, beauty and wellbeing, innovation",info not available,"At Unilever we meet everyday needs for nutrition, hygiene and personal care with brands that help people feel good, look good and get more out of life.","Unilever is a global consumer goods company known for its diverse range of products across various categories, emphasizing sustainable living.",info not available
The Walt Disney Company,Motion Picture and Video Production,https://thewaltdisneycompany.com/,https://www.linkedin.com/company/the-walt-disney-company,https://www.facebook.com/thewaltdisneycompany/,https://twitter.com/waltdisneyco?lang=en,500 South Buena Vista Street,Burbank,California,United States,91521,"500 South Buena Vista Street, Burbank, California 91521, United States","Film Production, Television Production, Media Production, Entertainment Industry",(855) 553-4763,The mission of The Walt Disney Company is to be one of the world's leading producers and providers of entertainment and information.,"The Walt Disney Company is a global leader in entertainment and media, known for its storytelling, iconic brands, and innovative technologies.",info not available
Volkswagen Group,Automobile Manufacturing,https://www.volkswagen-group.com/en,https://www.linkedin.com/company/volkswagen-group/,https://www.facebook.com/volkswagen/,https://twitter.com/vwgroup?lang=en,info not available,info not available,info not available,Germany,info not available,info not available,"Car manufacturing, Automotive production, Vehicle manufacturing",info not available,Mobility for generations to come.,Volkswagen Group is a leading global automotive manufacturer known for its diverse range of brands and commitment to innovation and sustainability.,info not available
Nestle,Unclassified Establishments,https://www.nestle.com/,https://www.linkedin.com/company/nestle-s-a-,https://www.facebook.com/Nestle/,https://twitter.com/nestle?lang=en,info not available,info not available,info not available,info not available,info not available,info not available,info not available,info not available,Information not available,Information not available,info not available
PepsiCo,Unclassified Establishments,https://pepsico.com/,https://www.linkedin.com/company/pepsico,https://www.facebook.com/PepsiCo/,https://twitter.com/pepsico,info not available,info not available,info not available,info not available,info not available,info not available,"Unclassified, Unknown Industry",info not available,Information not available,Information not available,info not available
